"variant","age","ylo","yhi","cancer_type"
"U2AF1_S34F",46.0969899665552,30275022985273.2,66352685416479,"AML"
"U2AF1_S34F",46.3210702341137,30703883144304.9,66563654686631.6,"AML"
"U2AF1_S34F",46.5451505016722,31187775946715.7,66815495797473.5,"AML"
"U2AF1_S34F",46.7692307692308,31628586060272,67066904651599.2,"AML"
"U2AF1_S34F",46.9933110367893,32042051798877.4,67463521434932.4,"AML"
"U2AF1_S34F",47.2173913043478,32540692936102.7,67752285232577.7,"AML"
"U2AF1_S34F",47.4414715719063,32979152552410.5,68064732646853.6,"AML"
"U2AF1_S34F",47.6655518394649,33422539380837.3,68298210073908,"AML"
"U2AF1_S34F",47.8896321070234,33936011672697.2,68634414673844.8,"AML"
"U2AF1_S34F",48.1137123745819,34414597062214,68949296891060.9,"AML"
"U2AF1_S34F",48.3377926421405,34874498070375.1,69179096695119.1,"AML"
"U2AF1_S34F",48.561872909699,35274967603865.4,69433756165562.8,"AML"
"U2AF1_S34F",48.7859531772575,35759740353102.6,69672649732426.7,"AML"
"U2AF1_S34F",49.0100334448161,36217988254545.6,69959684468040.7,"AML"
"U2AF1_S34F",49.2341137123746,36707599936988.8,70227627729847.1,"AML"
"U2AF1_S34F",49.4581939799331,37112350770684.3,70509102901674.4,"AML"
"U2AF1_S34F",49.6822742474916,37623473933571.6,70848376258154.4,"AML"
"U2AF1_S34F",49.9063545150502,38089364588923.4,71132566113082.3,"AML"
"U2AF1_S34F",50.1304347826087,38519480715242.4,71427028761707,"AML"
"U2AF1_S34F",50.3545150501672,39046220983111.9,71690884773761,"AML"
"U2AF1_S34F",50.5785953177257,39435578087637.4,72023273327718,"AML"
"U2AF1_S34F",50.8026755852843,39934353399512.8,72336636322012.2,"AML"
"U2AF1_S34F",51.0267558528428,40372280834510.7,72631772487649.3,"AML"
"U2AF1_S34F",51.2508361204013,40837630276125.7,72892013843109.1,"AML"
"U2AF1_S34F",51.4749163879599,41344392769901,73197494156595.5,"AML"
"U2AF1_S34F",51.6989966555184,41800454851122.2,73512709828318.2,"AML"
"U2AF1_S34F",51.9230769230769,42287084357682.7,73875797143577.2,"AML"
"U2AF1_S34F",52.1471571906355,42725275662300.8,74185289026948.1,"AML"
"U2AF1_S34F",52.371237458194,43110567724644.2,74498281840723.7,"AML"
"U2AF1_S34F",52.5953177257525,43576752112756.6,74817369453963.7,"AML"
"U2AF1_S34F",52.819397993311,44014571384228.5,75217856465837.6,"AML"
"U2AF1_S34F",53.0434782608696,44489737892524,75537947222571,"AML"
"U2AF1_S34F",53.2675585284281,44956956050485.2,75864565587693.4,"AML"
"U2AF1_S34F",53.4916387959866,45385973790909.5,76114431115321,"AML"
"U2AF1_S34F",53.7157190635452,45777738902160.6,76492561441497.8,"AML"
"U2AF1_S34F",53.9397993311037,46180353449526.6,76899935628003.6,"AML"
"U2AF1_S34F",54.1638795986622,46595842175323.8,77190350400426.7,"AML"
"U2AF1_S34F",54.3879598662207,46991327869552.9,77551202333857.8,"AML"
"U2AF1_S34F",54.6120401337793,47395126466726.2,77862748379513.2,"AML"
"U2AF1_S34F",54.8361204013378,47805514489808,78193112331371.8,"AML"
"U2AF1_S34F",55.0602006688963,48281979646085.1,78501214251665.8,"AML"
"U2AF1_S34F",55.2842809364548,48756945482813.5,78852910067895.5,"AML"
"U2AF1_S34F",55.5083612040134,49237320959312.9,79169849841681.7,"AML"
"U2AF1_S34F",55.7324414715719,49616507877937.2,79492618778824.2,"AML"
"U2AF1_S34F",55.9565217391304,50109047880566.6,79784524447944.6,"AML"
"U2AF1_S34F",56.180602006689,50512818185829.6,80099977659575,"AML"
"U2AF1_S34F",56.4046822742475,50847970145360.9,80418284565090.5,"AML"
"U2AF1_S34F",56.628762541806,51182350674789.9,80770695677469.1,"AML"
"U2AF1_S34F",56.8528428093645,51561855738205.7,81091322456969.2,"AML"
"U2AF1_S34F",57.0769230769231,51943033423495.6,81389421375979.1,"AML"
"U2AF1_S34F",57.3010033444816,52346230934564.5,81721628385853.1,"AML"
"U2AF1_S34F",57.5250836120401,52697762319946.8,82026367767248.4,"AML"
"U2AF1_S34F",57.7491638795987,53071221711602.5,82458433660979.5,"AML"
"U2AF1_S34F",57.9732441471572,53387511839986.4,82827826357500.3,"AML"
"U2AF1_S34F",58.1973244147157,53746322201253.1,83208901528517.2,"AML"
"U2AF1_S34F",58.4214046822742,54101808311248.4,83525256909286.4,"AML"
"U2AF1_S34F",58.6454849498328,54493559189745.4,83904880944352.6,"AML"
"U2AF1_S34F",58.8695652173913,54890017712471.3,84297953519786.1,"AML"
"U2AF1_S34F",59.0936454849498,55231051689000.5,84646475470472.6,"AML"
"U2AF1_S34F",59.3177257525084,55530278534405,85012283012174.4,"AML"
"U2AF1_S34F",59.5418060200669,55828711234368.2,85376169279200.9,"AML"
"U2AF1_S34F",59.7658862876254,56172858156164.4,85737519816352.7,"AML"
"U2AF1_S34F",59.9899665551839,56488087721943.5,86120385697463.1,"AML"
"U2AF1_S34F",60.2140468227425,56790217371885.1,86562572117821.8,"AML"
"U2AF1_S34F",60.438127090301,57047036500119.4,86919467771081.8,"AML"
"U2AF1_S34F",60.6622073578595,57342482959927.4,87286058623020.1,"AML"
